Team_ID,Team,First.Place.Votes,Season,PreSeason.Rank
1246,Kentucky,3,2010,4
1437,Villanova,0,2010,5
1314,North Carolina,1,2010,6
1345,Purdue,0,2010,7
1452,West Virginia,0,2010,8
1181,Duke,0,2010,9
1397,Tennessee,0,2010,10
1139,Butler,0,2010,11
1163,Connecticut,0,2010,12
1143,California,0,2010,13
1449,Washington,0,2010,14
1276,Michigan,0,2010,15
1326,Ohio State,0,2010,16
1328,Oklahoma,0,2010,17
1280,Mississippi State,0,2010,18
1257,Louisville,0,2010,19
1207,Georgetown,0,2010,20
1173,Dayton,0,2010,21
1210,Georgia Tech,0,2010,22
1228,Illinois,0,2010,23
1155,Clemson,0,2010,24
1278,Minnesota,0,2010,25
1314,North Carolina,72,2009,1
1163,Connecticut,0,2009,2
1257,Louisville,0,2009,3
1417,UCLA,0,2009,4
1338,Pittsburgh,0,2009,5
1277,Michigan State,0,2009,6
1400,Texas,0,2009,7
1181,Duke,0,2009,8
1323,Notre Dame,0,2009,9
1211,Gonzaga,0,2009,10
1345,Purdue,0,2009,11
1328,Oklahoma,0,2009,12
1272,Memphis,0,2009,13
1397,Tennessee,0,2009,14
1113,Arizona State,0,2009,15
1266,Marquette,0,2009,16
1274,Miami (FL),0,2009,17
1425,USC,0,2009,18
1196,Florida,0,2009,19
1172,Davidson,0,2009,20
1448,Wake Forest,0,2009,21
1207,Georgetown,0,2009,22
1437,Villanova,0,2009,23
1242,Kansas,0,2009,24
1458,Wisconsin,0,2009,25
1314,North Carolina,29,2008,1
1417,UCLA,24,2008,2
1272,Memphis,18,2008,3
1242,Kansas,0,2008,4
1207,Georgetown,1,2008,5
1257,Louisville,0,2008,6
1397,Tennessee,0,2008,7
1277,Michigan State,0,2008,8
1231,Indiana,0,2008,9
1450,Washington State,0,2008,10
1266,Marquette,0,2008,11
1332,Oregon,0,2008,12
1181,Duke,0,2008,13
1211,Gonzaga,0,2008,14
1400,Texas,0,2008,15
1401,Texas A&M,0,2008,16
1112,Arizona,0,2008,17
1425,USC,0,2008,18
1116,Arkansas,0,2008,19
1246,Kentucky,0,2008,20
1301,NC State,0,2008,21
1338,Pittsburgh,0,2008,22
1390,Stanford,0,2008,23
1356,Southern Illinois,0,2008,24
1243,Kansas State,0,2008,25
