Player,NBA.Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,TeamID
Caron Butler,Miami Heat,Connecticut,2002,1,10,10,1163
Charlie Villanueva,Toronto Raptors,Connecticut,2005,1,7,7,1163
Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26,56,1163
DeAndre Daniels,Toronto Raptors,Connecticut,2014,2,7,37,1163
Denham Brown,Seattle SuperSonics,Connecticut,2006,2,10,40,1163
Emeka Okafor,Charlotte Bobcats,Connecticut,2004,1,2,2,1163
Hasheem Thabeet,Memphis Grizzlies,Connecticut,2009,1,2,2,1163
Hilton Armstrong,New Orleans/Oklahoma City Hornets,Connecticut,2006,1,12,12,1163
Jeremy Lamb,Houston Rockets,Connecticut,2012,1,12,12,1163
Josh Boone,New Jersey Nets,Connecticut,2006,1,23,23,1163
Kemba Walker,Charlotte Bobcats,Connecticut,2011,1,9,9,1163
Marcus Williams,New Jersey Nets,Connecticut,2006,1,22,22,1163
Rudy Gay,Houston Rockets,Connecticut,2006,1,8,8,1163
Shabazz Napier,Charlotte Hornets,Connecticut,2014,1,24,24,1163
Stanley Robinson,Orlando Magic,Connecticut,2010,2,29,59,1163
Doug McDermott,Denver Nuggets,Creighton,2014,1,11,11,1166
Kyle Korver,New Jersey Nets,Creighton,2003,2,22,51,1166
Robert Swift,Seattle SuperSonics,Bakersfield,2004,1,12,12,1167
Pape Sow,Miami Heat,Cal State-Fullerton,2004,2,18,47,1168
Stephen Curry,Golden State Warriors,Davidson,2009,1,7,7,1172
Sammy Mejia,Detroit Pistons,DePaul,2007,2,27,57,1177
Wilson Chandler,New York Knicks,DePaul,2007,1,23,23,1177
Ray McCallum,Sacramento Kings,Detroit Mercy,2013,2,6,36,1178
Willie Green,Seattle SuperSonics,Detroit Mercy,2003,2,12,41,1178
Austin Rivers,New Orleans Hornets,Duke,2012,1,10,10,1181
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2,1181
Carlos Boozer,Cleveland Cavaliers,Duke,2002,2,6,34,1181
Chris Duhon,Chicago Bulls,Duke,2004,2,9,38,1181
Dahntay Jones,Boston Celtics,Duke,2003,1,20,20,1181
Daniel Ewing,Los Angeles Clippers,Duke,2005,2,2,32,1181
Gerald Henderson,Charlotte Bobcats,Duke,2009,1,12,12,1181
Jabari Parker,Milwaukee Bucks,Duke,2014,1,2,2,1181
Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3,3,1181
Jay Williams,Chicago Bulls,Duke,2002,1,2,2,1181
JJ Redick,Orlando Magic,Duke,2006,1,11,11,1181
Josh McRoberts,Portland Trail Blazers,Duke,2007,2,7,37,1181
Justise Winslow,Miami Heat,Duke,2015,1,10,10,1181
Kyle Singler,Detroit Pistons,Duke,2011,2,3,33,1181
Kyrie Irving,Cleveland Cavaliers,Duke,2011,1,1,1,1181
Luol Deng,Phoenix Suns,Duke,2004,1,7,7,1181
Mason Plumlee,Brooklyn Nets,Duke,2013,1,22,22,1181
Mike Dunleavy,Golden State Warriors,Duke,2002,1,3,3,1181
Miles Plumlee,Indiana Pacers,Duke,2012,1,26,26,1181
Nolan Smith,Portland Trail Blazers,Duke,2011,1,21,21,1181
Rodney Hood,Utah Jazz,Duke,2014,1,23,23,1181
Ryan Kelly,Los Angeles Lakers,Duke,2013,2,18,48,1181
Shelden Williams,Atlanta Hawks,Duke,2006,1,5,5,1181
