College.TeamID,Loss.Effect.Season,College.Season.End,Players.Lost
1386,2010,2009,1
1388,2010,2009,1
1393,2010,2009,1
1401,2010,2009,1
1404,2010,2009,1
1412,2010,2009,1
1416,2010,2009,1
1417,2010,2009,2
1425,2010,2009,2
1433,2010,2009,1
1437,2010,2009,1
1448,2010,2009,2
1449,2010,2009,1
1462,2010,2009,1
0,2011,2010,7
1124,2011,2010,1
1139,2011,2010,1
1153,2011,2010,1
1155,2011,2010,1
1163,2011,2010,1
1199,2011,2010,2
1201,2011,2010,1
1207,2011,2010,1
1210,2011,2010,2
1235,2011,2010,1
1242,2011,2010,2
1246,2011,2010,5
1256,2011,2010,1
1266,2011,2010,1
1267,2011,2010,1
1268,2011,2010,1
1272,2011,2010,1
1274,2011,2010,1
1279,2011,2010,1
1280,2011,2010,1
1305,2011,2010,2
1307,2011,2010,1
1314,2011,2010,1
1323,2011,2010,1
1326,2011,2010,1
1328,2011,2010,2
1329,2011,2010,1
1353,2011,2010,1
1378,2011,2010,1
1390,2011,2010,1
1393,2011,2010,2
1400,2011,2010,3
1409,2011,2010,1
1431,2011,2010,1
1433,2011,2010,1
1443,2011,2010,1
1448,2011,2010,1
1449,2011,2010,1
1452,2011,2010,2
1462,2011,2010,1
0,2012,2011,13
1112,2012,2011,1
1130,2012,2011,1
1139,2012,2011,1
1140,2012,2011,1
1156,2012,2011,1
1158,2012,2011,1
1160,2012,2011,1
1163,2012,2011,1
1181,2012,2011,3
1196,2012,2011,2
1199,2012,2011,1
1208,2012,2011,2
1210,2012,2011,1
1220,2012,2011,1
1242,2012,2011,3
1246,2012,2011,4
1266,2012,2011,1
1268,2012,2011,1
1276,2012,2011,1
1287,2012,2011,1
1324,2012,2011,1
1326,2012,2011,1
1344,2012,2011,1
1345,2012,2011,2
1350,2012,2011,1
1361,2012,2011,1
1396,2012,2011,1
1397,2012,2011,1
1400,2012,2011,3
1417,2012,2011,2
1425,2012,2011,1
1449,2012,2011,1
1450,2012,2011,1
